model_family,config_name,optimizer,epochs,best_epoch,train_accuracy,val_accuracy,best_val_accuracy,test_accuracy,loss,params,model_path,summary_path,history_path
cnn,cnn_c16_32_k3_nopool_adam_e10,adam,10,8,0.9971296191215515,0.9691666960716248,0.972000002861023,0.9186000227928162,0.50113844871521,1612906,outputs\models\cnn_c16_32_k3_nopool_adam_e10.keras,outputs\summaries\cnn_c16_32_k3_nopool_adam_e10_summary.txt,outputs\metrics\cnn_c16_32_k3_nopool_adam_e10_history.csv
cnn,cnn_c16_32_k3_nopool_adam_e15,adam,15,10,0.997259259223938,0.9743333458900452,0.9748333096504211,0.9259999990463257,0.4681113660335541,1612906,outputs\models\cnn_c16_32_k3_nopool_adam_e15.keras,outputs\summaries\cnn_c16_32_k3_nopool_adam_e15_summary.txt,outputs\metrics\cnn_c16_32_k3_nopool_adam_e15_history.csv
cnn,cnn_c16_32_k3_nopool_rmsprop_e10,rmsprop,10,9,0.9987221956253052,0.9743333458900452,0.9753333330154419,0.9294000267982483,0.5750381350517273,1612906,outputs\models\cnn_c16_32_k3_nopool_rmsprop_e10.keras,outputs\summaries\cnn_c16_32_k3_nopool_rmsprop_e10_summary.txt,outputs\metrics\cnn_c16_32_k3_nopool_rmsprop_e10_history.csv
cnn,cnn_c16_32_k3_nopool_rmsprop_e15,rmsprop,15,11,0.9991666674613953,0.9726666808128357,0.9751666784286499,0.9186000227928162,0.8277124166488647,1612906,outputs\models\cnn_c16_32_k3_nopool_rmsprop_e15.keras,outputs\summaries\cnn_c16_32_k3_nopool_rmsprop_e15_summary.txt,outputs\metrics\cnn_c16_32_k3_nopool_rmsprop_e15_history.csv
cnn,cnn_c16_32_k3_pool_adam_e10,adam,10,7,0.996925950050354,0.9753333330154419,0.9758333563804626,0.9322999715805054,0.36096158623695374,408682,outputs\models\cnn_c16_32_k3_pool_adam_e10.keras,outputs\summaries\cnn_c16_32_k3_pool_adam_e10_summary.txt,outputs\metrics\cnn_c16_32_k3_pool_adam_e10_history.csv
cnn,cnn_c16_32_k3_pool_adam_e15,adam,15,11,0.998370349407196,0.9789999723434448,0.9794999957084656,0.9333000183105469,0.4873349070549011,408682,outputs\models\cnn_c16_32_k3_pool_adam_e15.keras,outputs\summaries\cnn_c16_32_k3_pool_adam_e15_summary.txt,outputs\metrics\cnn_c16_32_k3_pool_adam_e15_history.csv
cnn,cnn_c16_32_k3_pool_rmsprop_e10,rmsprop,10,10,0.9987407326698303,0.9791666865348816,0.9791666865348816,0.9412000179290771,0.4488639235496521,408682,outputs\models\cnn_c16_32_k3_pool_rmsprop_e10.keras,outputs\summaries\cnn_c16_32_k3_pool_rmsprop_e10_summary.txt,outputs\metrics\cnn_c16_32_k3_pool_rmsprop_e10_history.csv
cnn,cnn_c16_32_k3_pool_rmsprop_e15,rmsprop,15,9,0.9994074106216431,0.9768333435058594,0.9786666631698608,0.9362999796867371,0.7270562052726746,408682,outputs\models\cnn_c16_32_k3_pool_rmsprop_e15.keras,outputs\summaries\cnn_c16_32_k3_pool_rmsprop_e15_summary.txt,outputs\metrics\cnn_c16_32_k3_pool_rmsprop_e15_history.csv
cnn,cnn_c32_64_k3_nopool_adam_e10,adam,10,10,0.9979259371757507,0.9756666421890259,0.9756666421890259,0.935699999332428,0.40725603699684143,3232554,outputs\models\cnn_c32_64_k3_nopool_adam_e10.keras,outputs\summaries\cnn_c32_64_k3_nopool_adam_e10_summary.txt,outputs\metrics\cnn_c32_64_k3_nopool_adam_e10_history.csv
cnn,cnn_c32_64_k3_nopool_adam_e15,adam,15,15,0.998629629611969,0.9761666655540466,0.9761666655540466,0.9359999895095825,0.4701632261276245,3232554,outputs\models\cnn_c32_64_k3_nopool_adam_e15.keras,outputs\summaries\cnn_c32_64_k3_nopool_adam_e15_summary.txt,outputs\metrics\cnn_c32_64_k3_nopool_adam_e15_history.csv
cnn,cnn_c32_64_k3_nopool_rmsprop_e10,rmsprop,10,5,0.9989814758300781,0.9725000262260437,0.9748333096504211,0.9322999715805054,0.5463199019432068,3232554,outputs\models\cnn_c32_64_k3_nopool_rmsprop_e10.keras,outputs\summaries\cnn_c32_64_k3_nopool_rmsprop_e10_summary.txt,outputs\metrics\cnn_c32_64_k3_nopool_rmsprop_e10_history.csv
cnn,cnn_c32_64_k3_nopool_rmsprop_e15,rmsprop,15,7,0.9992592334747314,0.9741666913032532,0.9766666889190674,0.9265999794006348,0.7317876219749451,3232554,outputs\models\cnn_c32_64_k3_nopool_rmsprop_e15.keras,outputs\summaries\cnn_c32_64_k3_nopool_rmsprop_e15_summary.txt,outputs\metrics\cnn_c32_64_k3_nopool_rmsprop_e15_history.csv
