model_family,config_name,optimizer,epochs,best_epoch,train_accuracy,val_accuracy,best_val_accuracy,test_accuracy,loss,params,model_path,summary_path,history_path
mlp,mlp_h0_u8_8_adam_e10,adam,10,7,0.8336666822433472,0.8191666603088379,0.8201666474342346,0.6987000107765198,1.0311768054962158,7850,outputs\models\mlp_h0_u8_8_adam_e10.keras,outputs\summaries\mlp_h0_u8_8_adam_e10_summary.txt,outputs\metrics\mlp_h0_u8_8_adam_e10_history.csv
mlp,mlp_h0_u8_8_adam_e15,adam,15,14,0.8358703851699829,0.8181666731834412,0.8209999799728394,0.6987000107765198,1.029538631439209,7850,outputs\models\mlp_h0_u8_8_adam_e15.keras,outputs\summaries\mlp_h0_u8_8_adam_e15_summary.txt,outputs\metrics\mlp_h0_u8_8_adam_e15_history.csv
mlp,mlp_h0_u8_8_rmsprop_e10,rmsprop,10,10,0.8348888754844666,0.8201666474342346,0.8201666474342346,0.6955999732017517,1.043061375617981,7850,outputs\models\mlp_h0_u8_8_rmsprop_e10.keras,outputs\summaries\mlp_h0_u8_8_rmsprop_e10_summary.txt,outputs\metrics\mlp_h0_u8_8_rmsprop_e10_history.csv
mlp,mlp_h0_u8_8_rmsprop_e15,rmsprop,15,8,0.8368703722953796,0.8190000057220459,0.8209999799728394,0.6959999799728394,1.0422546863555908,7850,outputs\models\mlp_h0_u8_8_rmsprop_e15.keras,outputs\summaries\mlp_h0_u8_8_rmsprop_e15_summary.txt,outputs\metrics\mlp_h0_u8_8_rmsprop_e15_history.csv
mlp,mlp_h0_u32_32_adam_e10,adam,10,8,0.8332592844963074,0.8173333406448364,0.8188333511352539,0.6927000284194946,1.0524011850357056,7850,outputs\models\mlp_h0_u32_32_adam_e10.keras,outputs\summaries\mlp_h0_u32_32_adam_e10_summary.txt,outputs\metrics\mlp_h0_u32_32_adam_e10_history.csv
mlp,mlp_h0_u32_32_adam_e15,adam,15,11,0.8366110920906067,0.8165000081062317,0.8218333125114441,0.6973000168800354,1.0340105295181274,7850,outputs\models\mlp_h0_u32_32_adam_e15.keras,outputs\summaries\mlp_h0_u32_32_adam_e15_summary.txt,outputs\metrics\mlp_h0_u32_32_adam_e15_history.csv
mlp,mlp_h0_u32_32_rmsprop_e10,rmsprop,10,9,0.8337777853012085,0.8171666860580444,0.8215000033378601,0.7009999752044678,1.025496244430542,7850,outputs\models\mlp_h0_u32_32_rmsprop_e10.keras,outputs\summaries\mlp_h0_u32_32_rmsprop_e10_summary.txt,outputs\metrics\mlp_h0_u32_32_rmsprop_e10_history.csv
mlp,mlp_h0_u32_32_rmsprop_e15,rmsprop,15,10,0.8371296525001526,0.8190000057220459,0.8224999904632568,0.6983000040054321,1.04472017288208,7850,outputs\models\mlp_h0_u32_32_rmsprop_e15.keras,outputs\summaries\mlp_h0_u32_32_rmsprop_e15_summary.txt,outputs\metrics\mlp_h0_u32_32_rmsprop_e15_history.csv
mlp,mlp_h0_u64_32_adam_e10,adam,10,10,0.8339999914169312,0.8188333511352539,0.8188333511352539,0.6966999769210815,1.0325145721435547,7850,outputs\models\mlp_h0_u64_32_adam_e10.keras,outputs\summaries\mlp_h0_u64_32_adam_e10_summary.txt,outputs\metrics\mlp_h0_u64_32_adam_e10_history.csv
mlp,mlp_h0_u64_32_adam_e15,adam,15,14,0.8365740776062012,0.8176666498184204,0.8201666474342346,0.6978999972343445,1.0421842336654663,7850,outputs\models\mlp_h0_u64_32_adam_e15.keras,outputs\summaries\mlp_h0_u64_32_adam_e15_summary.txt,outputs\metrics\mlp_h0_u64_32_adam_e15_history.csv
